"","name","mz","rt","Annotation.type","ID","compound.name","isotope","adduct","score","confidence"
"1","M937T955",937.25396,955.145,"metAnnotation","C16466","7-Methyl-3-oxo-6-octenoyl-CoA","[M]","M+NH4",0.446560583798048,"grade2"
"2","M836T826",836.1677,825.898,"metAnnotation","C00877","Crotonoyl-CoA","[M]","M+H",0.694724209589414,"grade2"
"3","M788T634",788.19939,634.315,"adductAnnotation","C01352","FADH2","[M]","M+H",0.441977950501333,"grade2"
"4","M786T731",786.15566,731.283,"metAnnotation","C00016","FAD","[M]","M+H",0.885004700467045,"grade2"
"5","M732T325",731.59779,325.219,"adductAnnotation","C00550","Sphingomyelin","[M]","M+H",0.438823381062342,"grade2"
"6","M705T727",705.19696,726.933,"metAnnotation","C00882","Dephospho-CoA","[M]","M+NH4",0.778477840392023,"grade2"
"7","M695T818",695.12468,817.904,"seed","C00020","AMP","[M]","2M+H",0.907179764609953,"grade1"
"8","M688T648",688.148,647.709,"seed","C00882","Dephospho-CoA","[M]","M+H",0.938510909109447,"grade1"
"9","M684T937",684.24939,937.072,"adductAnnotation","C02052","Maltotetraose","[M]","M+NH4",0.760741825528234,"grade1"
"10","M679T798",679.26742,797.947,"metAnnotation","C01138","Streptomycin 6-phosphate","[M]","M+NH4",0.615348519647162,"grade2"
"11","M679T828",679.26808,827.597,"metAnnotation","C01138","Streptomycin 6-phosphate","[M]","M+NH4",0.738934338932249,"grade2"
"12","M667T975",667.22203,974.511,"adductAnnotation","C01613","Stachyose","[M]","M+H",0.598248366296136,"grade1"
"13","M667T937",667.22339,936.7185,"seed","C01613","Stachyose","[M]","M+H",0.831109058434693,"grade1"
"14","M659T748",659.29079,748.448,"metAnnotation","C21261","2'''-N-Acetyl-6'''-deamino-6'''-hydroxyparomomycin II","[M]","M+H",0.598232129214938,"grade2"
"15","M655T895",655.1632,894.616,"adductAnnotation","C14863","2-(S-Glutathionyl)acetyl glutathione","[M]","M+H",0.780013716760753,"grade2"
"16","M653T570",653.18773,570.0615,"metAnnotation","C11278","Aflatoxin B1exo-8,9-epoxide-GSH","[M]","M+NH4",0.723585438345103,"grade2"
"17","M625T795",625.10763,795.262,"seed","C00043","UDP-N-acetyl-alpha-D-glucosamine","[M]","M+NH4",0.890584687620019,"grade1"
"18","M613T929",613.15406,929.034,"adductAnnotation","C00127","Glutathione disulfide","[M]","M+H",0.806776333910395,"grade2"
"19","M608T795",608.08269,795.311,"metAnnotation","C00043","UDP-N-acetyl-alpha-D-glucosamine","[M]","M+H",0.86936514982559,"grade1"
"20","M606T823",606.08566,822.513,"metAnnotation","C00394","GDP-glucose","[M]","M+H",0.867448713008728,"grade2"
"21","M606T870",606.07647,870.4075,"seed","C00394","GDP-glucose","[M]","M+H",0.916040109063015,"grade1"
"22","M598T877",598.06046,876.595,"seed","C00167","UDP-glucuronate","[M]","M+NH4",0.940343838562731,"grade1"
"23","M590T838_1",590.08214,838.175,"metAnnotation","C00325","GDP-L-fucose","[M]","M+H",0.809603479502524,"grade2"
"24","M590T791",590.08253,791.402,"metAnnotation","C00498","ADP-glucose","[M]","M+H",0.874112573936782,"grade2"
"25","M585T443",585.27435,442.7065,"adductAnnotation","C00486","Bilirubin","[M]","M+H",0.811369391207047,"grade2"
"26","M584T819",584.08159,819.36,"metAnnotation","C00052","UDP-alpha-D-galactose","[M]","M+NH4",0.818523080693816,"grade1"
"27","M583T457",583.24762,457.306,"seed","C00500","Biliverdin","[M]","M+H",0.892493639863982,"grade1"
"28","M581T877",581.03341,876.605,"metAnnotation","C00167","UDP-glucuronate","[M]","M+H",0.767601389068121,"grade1"
"29","M575T845",575.23462,844.679,"metAnnotation","C09332","THF-L-glutamate","[M]","M+H",0.560499224629658,"grade2"
"30","M567T820",567.05507,820.124,"metAnnotation","C00052","UDP-alpha-D-galactose","[M]","M+H",0.818343110856712,"grade1"
"31","M560T791",560.07291,790.808,"metAnnotation","C00301","ADP-ribose","[M]","M+H",0.877838001355958,"grade2"
"32","M560T817",560.07291,817.019,"metAnnotation","C00301","ADP-ribose","[M]","M+H",0.851357617753703,"grade2"
"33","M522T938",522.19601,937.631,"adductAnnotation","C01835","Maltotriose","[M]","M+NH4",0.689610735678313,"grade1"
"34","M522T854_2",522.19777,853.828,"adductAnnotation","C06219","Cellotriose","[M]","M+NH4",0.780184085966902,"grade2"
"35","M517T612",517.18234,611.511,"adductAnnotation","C18235","S-(Hydroxymethyl)mycothiol","[M]","M+H",0.533578128175185,"grade2"
"36","M514T313",514.30232,312.9075,"metAnnotation","C05951","Leukotriene D4","[M]","M+NH4",0.526843793554765,"grade2"
"37","M506T297",506.16546,296.781,"seed","C00299","Uridine","[M]","2M+NH4",0.883417030300175,"grade1"
"38","M505T937",505.17001,936.908,"adductAnnotation","C01835","Maltotriose","[M]","M+H",0.694965210732403,"grade1"
