name,mz,rt,Annotation.type,annotated.from.ID,annotated.from.peak,ID,compound.name,isotope,adduct,Formula,score,peak.group,confidence
M60T1209,60.0434,1209.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M60T1182,60.04341,1181.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M60T1163,60.0434,1163.205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M60T1310,60.04335,1310.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M60T1240,60.04339,1239.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M60T1254,60.0434,1254.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M60T1277,60.04335,1277.305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M60T1338,60.04336,1337.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M60T1350,60.04327,1350.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M60T1369,60.04336,1369.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M60T1089,60.05091,1089.245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M60T465,60.04327,465.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M61T1228,61.02766,1227.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M61T1299,61.02773,1298.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M61T1371,61.02774,1370.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M61T1328,61.02769,1328.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M61T1265,61.02772,1265.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M61T1200,61.02697,1199.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M61T1348,61.02774,1348.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M61T1170,61.02701,1170.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M61T1127,61.02775,1127.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M61T1091,61.02773,1090.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M61T186,61.03875,186.0035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M63T709,62.98066,709.463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M65T1181,65.01858,1181.135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M65T1257,65.01863,1257.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M67T1284,66.97293,1284.365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M67T1241,66.97293,1240.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M67T1223,66.97294,1223.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M67T1193,66.97295,1193.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M67T1263,66.97307,1263.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M67T1090,66.97302,1090.365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M67T1170,66.97289,1169.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M67T1345,66.973,1345.105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M67T1321_1,66.97302,1320.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
